GCCSA_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
6GHOB,3,4,0,4,0,0,0,12,17,19,17,9,10,0,0,71,4,8,5,13,3,3,0,33,22,28,24,22,19,3,0,120,95,435,870,935,898,543,112,3891,2678,2390,2084,1938,1942,543,59,11630,184,161,129,168,160,60,48,915,14424,20347,21393,23092,17262,3680,462,100657
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,9,10,13,12,3,0,55
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,5,3,0,0,11,7,24,28,43,36,5,4,141,119,192,188,263,262,71,11,1111,21,16,14,30,31,17,4,128,1029,1839,1778,2227,1841,369,54,9132
5RWAU,11,25,21,24,8,0,0,85,14,64,56,51,21,0,0,202,10,38,26,28,15,3,0,124,37,127,96,97,51,3,0,406,363,1535,2609,3216,3208,2055,645,13632,3701,6970,6569,6549,5253,1450,182,30673,573,971,961,1000,679,257,131,4563,28206,53628,54911,57931,41573,10558,1836,248646
5GPER,966,1266,973,787,488,72,3,4548,98,91,71,42,19,0,0,321,31,55,46,51,25,3,0,207,1093,1410,1089,881,528,73,3,5078,974,5101,8524,8943,7205,3471,748,34966,18938,18691,15316,12846,11494,3825,399,81511,1498,1807,1447,1473,1017,443,189,7865,128370,205748,188161,182316,123457,30123,3458,861625
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,42,57,56,22,0,0,178,0,18,25,15,8,0,0,72,58,405,453,444,216,14,4,1595
59499,20,18,10,10,10,3,0,74,0,8,3,3,0,0,0,17,4,4,12,3,8,3,0,29,22,35,21,18,14,3,0,119,40,157,194,179,117,52,20,766,789,1530,1415,1406,1237,381,50,6808,104,171,165,147,99,31,16,734,7185,13020,11675,11952,8294,2019,229,54378
4RSAU,4,6,6,3,0,0,0,18,5,7,6,6,3,0,0,29,5,16,18,14,14,4,0,78,11,31,28,23,16,10,0,121,315,981,1834,2639,3090,1918,568,11346,3117,3132,2739,3230,3168,1034,173,16595,340,232,268,337,290,175,135,1782,19741,25913,28016,34367,28582,8024,1646,146296
4GADE,178,200,181,119,86,18,0,781,110,94,86,53,28,4,0,383,20,60,41,49,24,3,0,202,312,354,307,226,135,29,0,1366,568,2543,4603,5157,4644,2630,534,20676,13890,13156,10732,9270,8764,2671,288,58770,857,874,792,813,599,303,186,4420,80692,123244,120602,124935,89910,20379,2404,562169
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,22,0,0,0,0,0,0,0,0,0,5,13,25,8,0,0,64
49499,8,9,0,3,3,0,0,26,3,4,3,3,3,0,0,16,3,3,8,0,5,0,0,19,12,17,12,11,11,3,0,65,31,91,102,113,95,39,8,480,546,753,706,828,844,282,36,4001,66,52,63,70,60,21,18,354,4228,6992,6833,8212,6315,1537,185,34306
3RQLD,138,109,73,67,37,9,3,438,153,305,319,228,98,8,0,1116,56,127,102,124,66,17,0,489,345,543,501,420,194,40,4,2040,1770,7015,12848,14883,14356,8031,2195,61104,20758,19789,16832,16737,15383,4683,590,94777,1923,1685,1779,1896,1513,776,475,10053,154178,199092,208327,220619,158384,40113,6129,986831
3GBRI,727,855,684,577,333,52,5,3228,198,215,158,122,57,6,0,759,54,82,91,88,54,11,0,388,980,1152,939,788,446,68,5,4372,1590,6848,12668,12625,9927,4437,926,49016,23932,23136,19150,15969,13652,4057,440,100340,1587,1644,1379,1392,1013,426,269,7709,164940,244016,237477,222094,141471,31465,3444,1044909
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,9,9,0,0,42,0,0,0,0,0,0,0,0,18,42,53,44,37,7,0,202
39499,38,29,16,19,6,3,0,108,21,17,11,12,10,0,0,67,9,14,22,6,11,3,0,68,61,66,43,41,25,5,0,241,95,329,453,427,371,131,33,1837,1355,2000,2052,2226,2153,741,103,10626,176,176,201,218,167,86,47,1067,13149,21309,21763,22360,16113,3813,410,98920
2RVIC,104,114,77,55,54,13,0,424,27,17,12,11,5,3,0,78,27,29,27,40,22,4,0,152,156,169,116,104,88,17,0,651,905,3405,6439,8199,9305,6054,1915,36231,14650,11721,10477,10511,11242,3594,550,62749,1417,972,975,1260,1102,588,362,6677,84118,104221,109256,124787,101812,27022,5154,556360
2GMEL,3065,6198,4369,2765,1681,326,32,18434,157,177,118,92,55,13,0,612,104,241,162,142,89,21,0,765,3328,6619,4650,2994,1826,365,33,19810,2472,12942,23891,22419,16750,8293,1752,88516,43656,41606,35671,25970,23015,8120,1077,179119,3480,4152,3290,3324,2387,1064,576,18275,279953,519200,469630,430403,279518,67533,8544,2054783
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,7,12,11,0,0,37,0,0,0,0,0,0,0,0,5,26,43,57,28,3,0,155
29499,110,149,71,62,38,11,5,445,4,7,6,5,3,0,0,29,5,13,16,16,3,0,0,54,115,171,93,84,42,12,5,525,106,408,550,471,342,136,33,2041,1721,2158,1991,2112,1947,738,118,10784,271,272,242,273,185,109,44,1394,16570,27240,25210,26105,18622,4673,612,119037
1RNSW,118,152,122,99,53,12,3,558,34,31,23,32,19,0,0,152,41,69,65,75,55,36,3,345,196,248,214,203,138,46,10,1047,1616,5925,11585,14151,15362,9906,3231,61775,23185,20417,17650,17813,18649,5640,789,104145,2360,1728,1839,2196,1830,964,680,11602,150242,187807,201119,225790,179232,45815,8600,998604
1GSYD,2702,4342,3073,2214,1446,290,24,14088,151,288,236,177,87,18,3,972,49,111,159,143,65,11,0,535,2904,4738,3466,2532,1598,323,28,15594,2849,13870,26796,25551,18701,9312,2161,99247,40820,40092,34365,25247,23440,8571,1221,173759,4002,4816,3768,3545,2539,1098,536,20298,301142,557816,516206,455509,300536,75326,9601,2216135
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,7,3,0,0,21,0,0,0,0,0,0,0,0,10,17,17,24,12,3,0,90
19499,142,116,93,72,45,12,4,490,5,13,7,7,0,0,0,33,8,15,7,9,10,0,0,54,161,146,107,92,60,15,3,580,125,447,613,589,453,160,44,2428,1987,2248,2256,2500,2559,972,136,12665,339,378,313,374,279,128,85,1901,19974,29918,30659,32366,23834,5924,688,143362
