GCCSA_CODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
6RTAS,0,54,69,4,11,3,0,81,9,0,0,0,0,9,1420,89,174,61,24,1768,96,9,20,9,3,130,31,3,6,0,0,46,28,0,3,3,0,39,580,29,54,21,15,703,957,45,97,38,51,1191,44854,1766,3497,1286,624,52032,76798,4544,7720,2152,1156,92371,152,10,26,3,0,198,215,25,35,20,3,296,12,0,0,0,0,12,22,5,0,0,0,28,51,3,0,0,0,55,3,0,0,0,0,3,193,19,61,20,3,292,7,3,10,0,0,19,72,8,5,3,0,88,325,40,36,9,9,427,51,4,8,0,0,59,28,4,4,0,0,39,16,0,0,0,0,16,107,7,9,3,3,127,49,9,10,4,0,75,50,0,6,0,0,61,81,3,3,0,0,91,8,3,0,0,0,9,189,14,14,5,0,220,10,6,0,0,0,14,186,48,74,21,3,341,1130,101,144,47,13,1434,22,9,3,0,0,39
6GHOB,0,42,107,5,16,3,3,134,0,0,0,0,0,3,1687,56,192,25,13,1976,185,3,32,3,0,223,49,5,11,3,3,74,38,0,0,0,0,49,905,24,80,14,8,1026,645,15,33,9,48,752,46350,1272,2835,508,447,51410,74491,3535,5668,750,757,85204,223,17,31,6,4,273,673,62,86,21,3,853,30,7,3,0,0,42,9,0,0,0,0,9,63,3,5,0,0,77,4,0,0,0,0,4,319,29,43,12,0,398,49,19,21,13,7,107,112,13,9,0,3,142,600,34,62,10,7,719,52,0,0,0,0,60,67,9,10,4,0,88,16,0,0,0,0,19,154,11,11,5,0,188,86,8,26,3,0,134,126,4,17,0,0,147,157,18,13,3,0,198,15,3,4,3,0,28,338,9,26,4,0,382,14,0,3,0,0,15,181,19,34,5,5,242,1029,55,107,18,10,1222,91,8,12,3,0,116
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,37,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
69499,0,0,3,3,3,0,0,4,0,0,0,0,0,0,49,0,31,0,3,86,6,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,3,9,0,0,40,43,3,9,0,0,54,1712,60,481,49,48,2350,4787,536,2415,111,141,7984,13,0,0,0,0,12,10,0,0,0,0,11,0,0,0,0,0,0,3,0,3,0,0,3,0,0,5,0,0,5,0,0,0,0,0,0,17,0,12,0,0,32,0,0,3,0,0,3,0,3,0,0,0,3,21,0,6,0,0,30,7,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,7,3,3,0,0,11,6,0,6,0,0,7,0,0,3,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,16,0,12,0,0,28,80,7,47,3,4,141,4,0,0,0,0,9
5RWAU,0,100,395,15,32,12,5,462,4,0,0,0,0,4,6208,310,659,259,81,7515,292,20,42,19,0,368,126,29,51,24,4,238,517,20,27,11,0,577,2304,78,164,75,30,2647,1501,83,169,87,89,1934,85847,4207,7479,3478,1154,102165,147633,10342,15276,5758,2001,181012,492,23,39,19,7,572,802,48,47,27,3,934,117,15,14,6,8,164,77,8,6,3,0,88,232,7,9,0,3,243,65,0,6,4,0,71,875,47,131,32,15,1096,37,4,14,3,3,67,229,13,9,10,4,251,1930,66,71,21,14,2109,445,17,21,17,8,511,149,9,8,6,0,175,49,0,4,0,0,53,1616,54,63,27,11,1764,453,64,72,62,17,665,172,6,10,4,4,201,457,6,17,3,10,493,34,13,9,0,0,53,702,32,33,9,4,783,46,3,3,0,0,51,514,40,97,36,10,693,12988,420,560,159,127,14248,161,12,18,0,4,187
5GPER,15,1587,1890,55,147,32,14,2134,107,17,12,7,3,146,44727,1869,2921,572,282,50360,1646,71,125,25,3,1876,3147,268,657,166,46,4280,2909,100,128,43,13,3196,22447,788,1372,308,198,25119,3513,125,242,77,203,4170,376779,15426,22264,5554,2776,422804,417341,29703,30233,5423,3213,485916,2448,166,189,28,10,2846,9764,1081,819,393,76,12140,1257,110,178,28,20,1593,567,64,65,12,10,727,491,12,21,3,5,537,1125,109,117,23,14,1391,3280,305,383,77,22,4065,372,60,58,12,3,511,2757,177,212,49,17,3219,23929,1335,1323,234,187,27012,4637,328,245,82,33,5322,2229,176,217,43,21,2687,612,69,110,16,14,827,8657,551,498,67,61,9836,3908,685,625,173,74,5461,1815,97,155,28,10,2102,2685,352,236,74,32,3371,274,55,50,13,4,391,12905,943,960,209,82,15100,226,24,21,9,3,288,1902,213,284,46,18,2464,30888,1542,1960,298,313,35000,1990,94,172,23,26,2297
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,91,0,3,3,3,99,1025,14,16,5,3,1064,7,0,0,0,0,7,3,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,6,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,17,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,7,122,0,0,0,3,127,0,0,0,0,0,0
59499,0,18,66,4,27,3,0,101,3,0,0,0,0,5,1078,59,506,27,31,1702,35,6,19,0,4,59,50,8,16,5,3,80,79,0,14,0,0,95,496,35,202,11,18,756,150,15,58,14,10,249,9054,519,3234,279,230,13312,20377,2901,9822,501,502,34105,68,10,34,0,0,116,193,32,104,13,3,342,64,9,50,3,5,130,14,3,15,0,0,35,21,0,9,0,0,34,51,16,35,0,3,103,130,17,93,3,0,238,11,8,8,0,0,30,53,5,24,0,0,82,403,79,226,3,17,730,88,4,40,4,4,141,41,8,76,3,9,145,26,0,15,0,4,47,435,64,175,3,14,695,156,64,166,7,3,396,36,0,11,3,3,56,106,42,50,3,0,197,8,10,17,0,0,29,209,39,102,3,5,357,10,3,3,0,0,16,98,22,65,3,3,187,2380,225,646,27,38,3324,74,11,45,0,0,131
4RSAU,0,54,86,13,12,8,0,116,0,0,3,0,0,6,2560,123,301,103,59,3137,117,7,22,8,0,149,84,12,16,6,4,120,83,7,3,0,0,94,761,22,54,19,22,875,1092,52,135,75,75,1428,56531,2800,5811,2709,976,68830,97136,7599,14297,5429,1774,126235,114,20,13,6,0,155,498,29,15,23,5,567,38,12,8,6,4,62,19,11,0,0,0,35,77,0,3,0,0,79,9,0,3,0,0,10,307,38,72,28,4,454,64,23,37,36,3,166,73,5,7,0,0,85,689,76,45,43,10,869,67,0,5,0,3,75,36,11,0,0,0,53,15,5,0,0,0,20,141,10,21,3,4,168,179,27,53,21,10,289,40,0,6,0,0,45,100,4,6,3,3,114,12,3,10,0,0,26,159,23,19,3,0,204,16,4,9,0,3,31,225,33,88,33,10,390,1291,84,144,45,18,1577,83,13,4,0,3,99
4GADE,12,780,646,25,80,25,3,780,75,4,9,0,0,84,18872,637,1227,258,139,21137,809,35,57,11,5,922,2529,191,502,127,48,3397,377,7,17,0,3,402,9241,308,614,167,108,10438,2577,136,178,46,167,3102,251711,8445,14097,3321,2216,279789,355650,20300,25205,3856,3181,408192,972,74,85,16,10,1154,6684,874,564,419,50,8589,580,69,96,15,19,778,328,49,45,8,5,437,565,23,26,12,6,636,86,15,18,5,0,120,2009,177,263,46,31,2519,1014,209,219,60,32,1533,1289,108,57,14,8,1479,13803,698,731,128,145,15511,719,19,50,3,10,808,1352,112,135,22,13,1633,272,21,46,15,7,365,1177,74,94,6,13,1362,2676,516,607,152,52,3998,630,21,48,0,7,704,1292,131,156,78,16,1676,327,80,129,12,17,562,3223,243,252,60,22,3804,234,29,31,8,6,304,1132,118,173,42,17,1486,4927,315,397,52,46,5729,965,72,70,8,13,1131
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,43,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0
49499,0,20,21,0,6,0,3,37,0,0,0,0,0,0,510,17,231,8,6,766,18,0,12,0,0,25,56,0,19,0,0,74,11,0,0,0,0,12,233,31,68,5,7,344,119,3,48,4,11,185,6450,270,2125,186,134,9160,14610,2116,8591,376,412,26097,27,5,24,0,0,53,132,41,115,12,3,305,37,17,50,0,3,104,8,0,3,0,0,12,14,3,4,0,0,22,0,0,5,3,0,7,76,10,64,0,0,154,46,14,56,4,4,119,30,8,17,0,0,56,300,42,129,12,12,486,16,0,14,0,0,34,35,6,32,0,0,79,10,0,5,0,0,12,51,5,25,0,0,80,100,44,150,10,11,315,15,0,7,0,0,19,38,5,11,0,0,62,10,8,8,0,0,31,63,3,42,4,0,110,0,7,15,0,0,19,53,16,57,4,3,132,273,37,135,0,9,457,28,0,15,0,0,41
