GCCSA_CODE_2016,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_2016,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_2016,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_2016,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_2016,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_2016,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_2016,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_2016,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_2016,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_2016,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_2016,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_2016,Tot_EdTrn_NS,Tot_EdTrn_Tot,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_2016,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_2016,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_2016,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_2016,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_2016,Tot_Tot_NS,Tot_Tot_Tot
9OTER,55,3,0,0,3,0,0,0,0,9,40,3,7,5,4,5,3,8,80,44,4,3,10,32,29,8,5,141,16,3,3,0,4,6,0,6,29,3,0,0,0,0,3,0,3,13,7,0,0,0,0,0,0,0,6,7,0,4,3,3,0,0,0,12,14,0,3,3,10,0,0,0,39,22,0,0,4,5,3,0,3,42,120,8,10,18,23,15,0,9,217,25,5,5,4,0,0,3,3,50,24,0,6,6,4,3,0,3,47,12,3,0,0,0,0,0,0,16,14,3,0,0,3,3,0,3,35,18,4,6,0,10,8,3,7,56,504,48,53,70,124,104,26,65,1000
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,6,6,3,3,4,3,6,11,7,46
8ACTE,2057,228,33,47,59,88,86,4,7,553,971,218,327,509,964,1080,52,66,4190,758,199,396,518,1366,1831,185,126,5387,578,88,109,177,369,193,10,25,1552,347,86,110,141,142,117,4,11,957,323,71,81,134,195,153,4,12,976,271,53,45,68,109,97,7,7,654,2094,518,634,955,1108,907,65,86,6383,532,115,132,166,352,639,76,45,2061,7772,1777,1922,2111,1579,816,93,268,16339,1991,435,540,714,1051,1206,86,77,6100,2076,500,580,937,2217,2197,89,121,8733,295,54,71,74,90,125,9,14,727,533,109,120,157,360,361,27,35,1699,459,105,135,213,374,377,31,110,1800,20585,4586,5514,7281,10965,10766,779,1099,61571
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,504,12,3,3,0,7,6,0,0,25,16,0,7,3,4,16,0,0,51,3,0,3,5,3,5,0,0,23,46,14,6,5,36,19,0,3,141,6,0,0,9,9,5,0,0,28,4,0,4,0,0,0,0,0,8,4,0,0,0,0,0,0,0,8,45,9,11,13,13,18,7,3,113,77,8,11,20,40,40,10,0,202,26,3,5,12,9,6,3,4,65,31,4,14,16,16,15,0,5,106,48,12,12,6,21,22,0,3,127,0,0,4,7,0,0,0,0,17,17,4,6,0,4,11,0,4,51,20,0,8,3,12,10,0,3,66,612,100,129,151,237,242,23,47,1546
7RNTE,348,26,4,8,4,5,14,4,0,62,119,19,26,44,151,171,20,19,570,148,36,48,58,200,379,64,49,983,83,12,19,30,73,60,3,5,287,28,3,6,0,12,6,0,0,54,5,4,0,8,13,15,0,0,40,29,3,6,9,8,15,0,0,74,85,24,8,27,37,78,6,5,279,63,6,19,27,45,75,14,23,272,380,52,69,104,198,295,40,23,1162,263,34,61,70,133,118,11,21,707,313,55,83,171,451,401,22,35,1534,32,3,8,7,19,29,3,8,112,70,9,11,25,41,57,9,6,227,76,12,16,33,54,57,12,42,295,2137,313,475,707,1669,1980,241,291,7816
7GDAR,2672,126,17,10,32,94,130,6,10,420,410,55,96,110,464,550,30,54,1768,348,78,94,111,633,1146,221,102,2732,316,47,47,68,239,188,14,28,947,76,5,13,16,41,52,4,0,201,76,12,24,11,50,48,0,5,233,116,16,22,15,61,92,0,13,326,469,72,100,144,394,387,25,33,1637,195,36,43,49,185,257,41,39,844,1094,185,216,256,511,353,19,77,2699,575,100,120,130,341,295,24,34,1620,638,129,155,236,878,849,49,79,3016,109,19,25,42,133,155,9,23,510,194,38,30,54,145,192,20,23,707,267,42,65,96,240,290,34,79,1114,6319,1085,1390,1734,5317,6032,571,717,23174
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,3,0,0,11,12,3,6,4,8,5,0,4,42
79499,344,3,0,0,0,3,0,0,0,6,7,0,0,4,4,3,0,0,17,5,0,3,0,4,9,0,3,27,17,0,3,4,17,15,0,0,54,7,0,3,0,0,4,0,0,14,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,3,27,0,0,6,10,21,0,3,73,35,5,12,7,23,22,3,3,109,23,0,0,4,9,9,0,0,46,7,3,0,3,3,3,0,3,18,19,0,3,5,15,11,0,0,56,6,0,0,0,0,3,0,0,9,9,0,0,0,7,3,0,3,25,29,0,0,9,3,16,6,5,67,334,37,63,85,167,197,16,37,942
