GCCSA_CODE_2016,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000mor_E,M_3000mor_OM_IE,M_3000mor_OM_UIE,M_3000mor_CFW,M_3000mor_ES_NS,M_3000mor_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000mor_E,F_3000mor_OM_IE,F_3000mor_OM_UIE,F_3000mor_CFW,F_3000mor_ES_NS,F_3000mor_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE
6RTAS,112,27,73,211,9,434,1243,28,113,93,26,1503,1060,69,296,171,39,1639,1235,105,431,145,60,1972,1778,138,491,115,57,2584,3129,241,676,139,69,4252,5163,357,708,92,98,6412,6859,384,688,88,88,8108,6729,531,681,59,94,8102,4380,397,444,41,42,5310,3619,402,300,41,38,4395,2614,198,181,14,30,3037,2644,353,246,24,24,3293,817,392,286,30,12,1539,602,63,102,40,92,897,41992,3683,5722,1307,781,53486,131,10,62,244,8,455,2158,33,149,126,48,2511,2724,74,356,196,59,3424,3104,113,402,145,67,3835,4142,118,382,114,85,4856,6370,195,500,119,88,7270,6670,216,407,83,66,7451,5841,192,337,70,55,6493,5202,188,305,53,44,5791,2962,149,160,33,26,3321,2317,145,120,22,12,2612,1425,55,54,10,6,1549,1002,107,98,17,4,1234,238,135,94,23,11,497,569,25,62,42,38,725,44854,1766,3497,1286,624,52032,244,32,137,459,24,893,3406,59
6GHOB,110,20,27,76,4,236,1300,13,73,25,23,1442,1204,33,206,49,27,1514,1149,67,284,46,22,1559,1517,65,306,58,46,1996,2629,149,477,44,43,3350,3982,211,492,34,62,4786,5872,283,498,36,66,6757,6393,390,516,21,46,7378,4441,331,378,26,34,5212,4038,340,289,14,26,4710,2846,230,173,13,21,3277,3593,419,242,9,31,4302,1295,503,309,20,14,2144,438,34,63,18,49,595,40808,3089,4330,496,525,49249,144,4,33,89,6,279,2043,21,132,37,31,2264,2236,35,234,52,28,2593,2426,64,260,48,44,2842,3217,62,290,63,43,3680,5388,110,357,51,61,5964,5990,160,347,42,55,6598,6278,136,290,29,46,6781,6369,128,256,22,41,6819,4263,91,178,20,18,4565,3279,109,115,8,12,3526,2003,73,85,6,12,2172,1788,124,141,14,9,2072,452,123,80,11,10,684,477,22,32,15,36,582,46350,1272,2835,508,447,51410,246,23,59,174,10,511,3340,33
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,4,11,0,0,0,0,11,14,0,0,0,0,15,9,0,0,0,0,9,0,0,0,0,0,0,48,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
69499,21,0,20,9,0,53,67,3,28,3,3,98,111,10,103,19,8,256,149,16,144,5,14,333,195,24,180,9,8,414,363,38,285,6,17,712,471,62,277,14,15,835,634,76,351,4,13,1081,644,95,351,0,12,1102,401,67,217,0,6,691,228,76,158,5,3,471,115,26,82,0,4,220,142,31,65,7,3,246,73,22,44,0,4,136,77,16,34,0,4,128,3694,558,2333,77,123,6785,9,0,0,14,0,29,73,0,37,6,0,119,205,9,65,11,6,288,192,3,75,3,7,278,261,6,74,6,8,356,294,7,74,6,12,385,226,4,52,0,3,290,151,9,22,3,6,190,112,3,28,0,0,136,60,8,13,0,0,85,37,0,14,0,0,52,24,0,6,0,0,31,12,7,5,4,0,34,9,5,0,0,3,22,35,0,11,0,5,53,1712,60,481,49,48,2350,36,0,21,24,0,78,141,3
5RWAU,335,68,177,529,36,1142,2027,57,147,206,39,2471,1453,110,380,307,44,2296,1744,180,555,289,87,2851,2254,233,677,314,92,3565,3986,482,1060,354,123,6006,5913,538,1158,270,125,8005,8849,808,1437,271,173,11538,11692,1066,1649,300,183,14894,9883,936,1183,192,117,12317,11171,1082,1018,156,111,13533,11377,631,638,102,103,12853,29243,1090,868,130,182,31516,18441,1349,848,155,106,20896,1870,151,280,144,147,2592,120240,8770,12076,3723,1680,146485,403,41,137,656,35,1265,3745,53,374,288,66,4526,4172,121,611,310,98,5317,4778,174,634,292,100,5984,6050,214,628,273,107,7265,9522,351,825,317,149,11156,10714,401,757,227,126,12223,10731,405,758,220,109,12225,10402,528,789,220,99,12043,7041,427,480,160,61,8160,5665,433,421,127,55,6693,4267,235,222,64,23,4804,5586,340,348,84,31,6386,1495,400,329,114,25,2362,1291,80,168,132,85,1757,85847,4207,7479,3478,1154,102165,741,109,314,1183,68,2410,5765,117
5GPER,1177,277,297,886,66,2704,11019,163,462,265,125,12030,9752,303,1017,296,126,11493,9244,568,1405,306,179,11705,10837,704,1781,298,173,13786,15642,1339,2791,407,247,20427,22002,1786,2973,305,293,27366,35431,2592,3774,324,413,42533,48536,3932,4512,364,412,57754,38822,3429,3370,212,320,46146,36326,4370,2983,182,225,44086,29746,2885,1923,160,146,34861,54611,5533,2754,208,235,63335,33228,7630,3140,240,218,44457,4633,495,534,94,373,6134,361018,36012,33713,4543,3547,438823,1499,141,337,1262,66,3302,17492,220,1421,488,178,19796,20243,454,2070,569,189,23522,20216,664,1959,474,239,23549,23652,690,1925,377,233,26871,36517,1158,2541,446,295,40959,41885,1289,2281,394,319,46170,47280,1532,2308,279,274,51672,50166,1856,2059,309,251,54639,35599,1394,1347,208,143,38691,28058,1596,1136,168,105,31063,18966,875,603,107,96,20643,23132,1613,1012,154,74,25974,7351,1750,956,155,53,10266,4723,205,322,158,270,5674,376779,15426,22264,5554,2776,422804,2677,419,631,2149,131,6007,28509,382
59799,3,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,7,9,0,0,0,0,5,7,0,0,0,0,7,8,0,0,0,0,14,13,0,0,0,0,17,34,0,3,0,0,35,23,0,3,0,0,29,43,9,0,0,0,50,70,0,0,0,3,74,402,3,5,0,0,406,806,7,8,0,0,823,24,0,0,0,3,27,1444,22,18,0,9,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,12,0,0,0,0,12,0,0,0,0,0,3,6,0,0,0,0,6,4,0,0,0,0,4,33,0,0,0,0,33,18,0,0,0,0,18,3,0,0,0,0,3,91,0,3,3,3,99,5,0,0,0,0,7,5,0
59499,112,20,71,75,7,284,384,22,144,31,15,604,551,41,348,37,14,992,667,77,540,26,29,1339,936,98,659,41,37,1773,1462,190,1035,42,65,2785,1752,258,1241,43,60,3361,2462,420,1652,43,65,4648,3138,627,2057,46,77,5940,2540,556,1683,20,59,4859,2115,593,1331,22,40,4110,1644,369,808,3,39,2864,3043,478,928,12,38,4498,1604,330,327,17,30,2306,396,58,199,14,50,714,22813,4138,13017,469,617,41063,85,13,34,65,8,207,587,24,239,26,18,891,849,24,433,31,17,1357,831,26,378,27,25,1291,946,26,389,17,17,1399,1158,52,451,33,17,1724,1080,51,352,16,28,1526,973,82,287,6,23,1373,829,59,255,16,18,1176,522,35,141,7,10,711,342,47,88,5,9,486,247,20,40,4,4,320,309,30,63,3,3,410,108,26,42,0,3,177,179,7,46,10,23,267,9054,519,3234,279,230,13312,199,33,105,139,15,492,975,46
4RSAU,161,67,204,494,24,952,1715,42,184,209,32,2173,1429,95,506,319,64,2414,1610,172,632,313,77,2806,2217,269,806,289,96,3677,3833,415,1203,329,121,5899,6387,557,1228,289,166,8620,8776,673,1307,254,167,11179,8968,885,1337,252,143,11583,5770,637,845,143,62,7457,4738,609,646,118,79,6195,3539,357,370,86,35,4387,4986,478,499,105,40,6111,1449,542,462,128,43,2621,843,97,224,125,101,1388,56414,5915,10436,3455,1251,77465,197,27,87,429,25,763,2854,45,251,226,65,3441,3357,122,536,304,92,4406,3875,157,572,249,89,4946,5146,205,580,251,117,6301,8175,299,805,242,123,9641,8400,323,700,201,96,9724,7698,296,586,185,114,8882,6204,337,512,149,70,7274,3742,244,312,94,42,4435,2686,223,257,88,32,3286,1759,114,128,47,5,2052,1292,166,205,68,8,1744,298,185,178,67,20,746,834,59,108,107,79,1183,56531,2800,5811,2709,976,68830,355,93,293,929,46,1717,4566,88
4GADE,648,144,222,527,34,1578,7401,144,415,185,98,8246,7158,270,993,301,138,8861,6652,505,1300,289,144,8899,8285,614,1616,253,228,11001,13351,1070,2477,276,241,17419,22026,1513,2555,239,306,26650,33028,1998,2989,218,326,38563,36324,2678,2930,196,311,42434,25051,2113,1821,104,165,29261,21648,2383,1412,115,133,25692,16507,1391,832,55,77,18863,22672,2466,1303,95,111,26646,9449,3172,1786,114,104,14627,2715,272,323,69,259,3650,232925,20742,22992,3032,2680,282376,858,77,161,687,61,1843,11271,148,717,272,154,12557,13176,296,1315,401,185,15380,13445,402,1347,367,207,15770,17261,496,1487,279,231,19752,28059,748,1967,307,253,31328,32217,817,1563,230,233,35059,35318,930,1433,166,214,38072,34367,996,1237,156,193,36951,21939,792,675,77,118,23598,17461,812,619,97,77,19066,10719,404,303,45,36,11516,9793,657,572,76,42,11142,2885,732,522,70,22,4234,2950,138,181,78,187,3526,251711,8445,14097,3321,2216,279789,1503,221,382,1216,101,3421,18670,292
